id,demo,locationnameshort17181,count_
7,KING H.S.,EXCEL SOUTH,2
7,KING H.S.,FELS H.S.,6
7,KING H.S.,FRANKLIN H.S.,2
7,KING H.S.,LANKENAU H.S.,2
7,KING H.S.,LINCOLN H.S.,2
7,KING H.S.,KING H.S.,25
7,KING H.S.,MASTERY@GRATZ,29
7,KING H.S.,MASTERY@PICKETT,2
7,KING H.S.,NORTHEAST H.S.,1
7,KING H.S.,OIC CADI,1
7,KING H.S.,OMBUDSMAN ACCEL,1
7,KING H.S.,PA LEADERSHIP,1
7,KING H.S.,PARKWAY N.W.,5
7,KING H.S.,PHILA JUV JUSTC,2
7,KING H.S.,PHILA OIC WORKF,2
7,KING H.S.,PHILA VIRTUAL,2
7,KING H.S.,RANDOLPH H.S.,4
7,KING H.S.,ROBESON H.S.,1
7,KING H.S.,ROXBOROUGH H.S.,7
7,KING H.S.,SANKOFA FREEDOM,1
7,KING H.S.,SAYRE H.S.,1
7,KING H.S.,SLA @ BEEBER,1
7,KING H.S.,STRAWBERRY MANS,1
7,KING H.S.,TECH FREIRE,4
7,KING H.S.,THE U SCHOOL,3
7,KING H.S.,UNIVR.AUDENRIED,1
7,KING H.S.,UNKNOWN,27
7,KING H.S.,WEST PHILA H.S.,1
7,KING H.S.,COMM CNCL ACD,1
8,LINCOLN H.S.,H.S. OF FUTURE,1
8,LINCOLN H.S.,DOBBINS H.S.,1
8,LINCOLN H.S.,LINCOLN H.S.,1
8,LINCOLN H.S.,WASHINGTON H.S.,1
8,LINCOLN H.S.,UNKNOWN,3
8,LINCOLN H.S.,ACHIEVEMENT,1
9,MASTERY @ GRATZ,VISIONQUEST LTD,1
9,MASTERY @ GRATZ,MASTBAUM H.S.,1
9,MASTERY @ GRATZ,THE U SCHOOL,3
9,MASTERY @ GRATZ,ROXBOROUGH H.S.,1
9,MASTERY @ GRATZ,KING H.S.,1
9,MASTERY @ GRATZ,RANDOLPH H.S.,1
9,MASTERY @ GRATZ,FELS H.S.,2
9,MASTERY @ GRATZ,LINCOLN H.S.,1
9,MASTERY @ GRATZ,EXCEL NORTH,1
9,MASTERY @ GRATZ,1 RAY-FAIRHILL,1
9,MASTERY @ GRATZ,UNKNOWN,8
9,MASTERY @ GRATZ,ARCHITEC DESIGN,1
9,MASTERY @ GRATZ,CHARTER SCHOOL,1
9,MASTERY @ GRATZ,MASTERY@PICKETT,1
9,MASTERY @ GRATZ,ASPIRA OLNEY,2
9,MASTERY @ GRATZ,MASTERY@GRATZ,6
9,MASTERY @ GRATZ,DOBBINS H.S.,1
10,NORTHEAST H.S.,H.S. OF FUTURE,1
10,NORTHEAST H.S.,RANDOLPH H.S.,1
10,NORTHEAST H.S.,LINCOLN H.S.,1
10,NORTHEAST H.S.,NORTHEAST H.S.,2
10,NORTHEAST H.S.,OIC CADI,1
10,NORTHEAST H.S.,PENNYPACK,1
10,NORTHEAST H.S.,SANKOFA FREEDOM,1
11,OVERBROOK H.S.,SAYRE H.S.,2
11,OVERBROOK H.S.,FRANKLIN H.S.,1
11,OVERBROOK H.S.,FURNESS H.S.,1
11,OVERBROOK H.S.,PHILA JUV JUSTC,1
11,OVERBROOK H.S.,1 RAY-ELMWOOD,1
11,OVERBROOK H.S.,OVERBROOK H.S.,5
11,OVERBROOK H.S.,DOBBINS H.S.,1
11,OVERBROOK H.S.,ROXBOROUGH H.S.,1
11,OVERBROOK H.S.,RANDOLPH H.S.,1
11,OVERBROOK H.S.,LINCOLN H.S.,1
11,OVERBROOK H.S.,OIC CADI,1
11,OVERBROOK H.S.,YES PHILLY,2
11,OVERBROOK H.S.,PHILA VIRTUAL,1
11,OVERBROOK H.S.,UNKNOWN,4
11,OVERBROOK H.S.,ARCHITEC DESIGN,2
11,OVERBROOK H.S.,CHARTER SCHOOL,1
11,OVERBROOK H.S.,CHARTER SCHOOL,1
11,OVERBROOK H.S.,MASTERY-LENFEST,2
11,OVERBROOK H.S.,MASTERY SHOEMKR,1
11,OVERBROOK H.S.,ASPIRA OLNEY,2
11,OVERBROOK H.S.,MASTERY@GRATZ,9
11,OVERBROOK H.S.,CHARTER SCHOOL,1
12,PENN TREATY,KING H.S.,1
13,ROXBOROUGH H.S.,ROXBOROUGH H.S.,2
13,ROXBOROUGH H.S.,PHILA VIRTUAL,1
13,ROXBOROUGH H.S.,ASPIRA OLNEY,1
13,ROXBOROUGH H.S.,21ST CENTURY,1
14,SAYRE H.S.,ROBESON H.S.,1
14,SAYRE H.S.,SAYRE H.S.,5
14,SAYRE H.S.,KENSINGTON HS,1
14,SAYRE H.S.,RANDOLPH H.S.,2
14,SAYRE H.S.,LINCOLN H.S.,1
14,SAYRE H.S.,OIC CADI,1
14,SAYRE H.S.,EXCEL NORTH,1
14,SAYRE H.S.,PHL ACDMY-SOUTH,1
14,SAYRE H.S.,PHILA VIRTUAL,2
14,SAYRE H.S.,ARCHITEC DESIGN,1
14,SAYRE H.S.,CHARTER SCHOOL,1
14,SAYRE H.S.,ASPIRA OLNEY,1
14,SAYRE H.S.,MASTERY@GRATZ,1
14,SAYRE H.S.,TECH FREIRE,2
15,SOUTH PHILA HS,SAYRE H.S.,1
15,SOUTH PHILA HS,SOUTH PHILA HS,1
15,SOUTH PHILA HS,UNKNOWN,1
15,SOUTH PHILA HS,CHARTER SCHOOL,1
16,STRAWBERRY MANS,H.S. OF FUTURE,2
16,STRAWBERRY MANS,FRANKLIN H.S.,2
16,STRAWBERRY MANS,EL CENTRO,1
16,STRAWBERRY MANS,OMBUDSMAN ACCEL,2
16,STRAWBERRY MANS,OVERBROOK H.S.,1
16,STRAWBERRY MANS,DOBBINS H.S.,2
16,STRAWBERRY MANS,STRAWBERRY MANS,2
16,STRAWBERRY MANS,PARKWAY C.C.,1
16,STRAWBERRY MANS,ROXBOROUGH H.S.,2
16,STRAWBERRY MANS,RANDOLPH H.S.,2
16,STRAWBERRY MANS,FELS H.S.,1
16,STRAWBERRY MANS,LINCOLN H.S.,1
16,STRAWBERRY MANS,PHILA VIRTUAL,2
16,STRAWBERRY MANS,UNKNOWN,4
16,STRAWBERRY MANS,ARCHITEC DESIGN,1
16,STRAWBERRY MANS,FREIRE CHARTER,1
16,STRAWBERRY MANS,CHARTER SCHOOL,1
16,STRAWBERRY MANS,MASTERY@PICKETT,1
16,STRAWBERRY MANS,SANKOFA FREEDOM,1
16,STRAWBERRY MANS,MASTERY@GRATZ,16
16,STRAWBERRY MANS,TECH FREIRE,1
16,STRAWBERRY MANS,AGORA CYBER,1
17,UNIVR.AUDENRIED,FELS H.S.,1
17,UNIVR.AUDENRIED,UNKNOWN,2
17,UNIVR.AUDENRIED,UNIVR.AUDENRIED,1
18,WASHINGTON H.S.,FELS H.S.,1
18,WASHINGTON H.S.,LINCOLN H.S.,1
18,WASHINGTON H.S.,ARCHITEC DESIGN,1
18,WASHINGTON H.S.,MASTERY@GRATZ,1
18,WASHINGTON H.S.,UNKNOWN,1
19,WEST PHILA H.S.,BARTRAM H.S.,1
19,WEST PHILA H.S.,WEST PHILA H.S.,2
19,WEST PHILA H.S.,ROBESON H.S.,2
19,WEST PHILA H.S.,FRANKLIN H.S.,2
19,WEST PHILA H.S.,EL CENTRO,1
19,WEST PHILA H.S.,KENSINGTON HS,1
19,WEST PHILA H.S.,UNKNOWN,1
19,WEST PHILA H.S.,MASTERY@GRATZ,1
